High Level Relay Cat,Specific Ind,drug_class_name,drug_group_name,indication,High Level Relay Cat
mental disorders diagnosed in childhood|central nervous system diseases,Tic Disorders,,,,mental disorders diagnosed in childhood|central nervous system diseases
arbovirus infections|bacterial infections|protozoan infections,Tick-Borne Diseases,,,,arbovirus infections|bacterial infections|protozoan infections
infection|mycoses|skin diseases,Tinea,,,,infection|mycoses|skin diseases
infection|mycoses|skin diseases|foot diseases|signs and symptoms,Tinea Pedis,,,,infection|mycoses|skin diseases|foot diseases|signs and symptoms
ear diseases|neurologic manifestations|signs and symptoms,Tinnitus,,,,ear diseases|neurologic manifestations|signs and symptoms
tobacco use disorder,Tobacco Use Disorder,,,,tobacco use disorder
rna virus infections,Togaviridae Infections,,,,rna virus infections
mouth diseases,Tongue Diseases,,,,mouth diseases
neoplasms by site|mouth diseases,Tongue Neoplasms,,,,neoplasms by site|mouth diseases
neoplasms by site|pharyngeal diseases|otorhinolaryngologic neoplasms,Tonsillar Neoplasms,,,,neoplasms by site|pharyngeal diseases|otorhinolaryngologic neoplasms
tooth diseases,Tooth Demineralization,,,,tooth diseases
central nervous system diseases|neurologic manifestations|signs and symptoms,Torticollis,,,,central nervous system diseases|neurologic manifestations|signs and symptoms
"central nervous system diseases|genetic diseases, inborn|neurodegenerative diseases|mental disorders diagnosed in childhood",Tourette Syndrome,,,,"central nervous system diseases|genetic diseases, inborn|neurodegenerative diseases|mental disorders diagnosed in childhood"
pathologic processes,"Translocation, Genetic",,,,pathologic processes
"trauma, nervous system","Trauma, Nervous System",,,,"trauma, nervous system"
female urogenital diseases|protozoan infections,Trichomonas Vaginitis,,,,female urogenital diseases|protozoan infections
cranial nerve diseases,Trigeminal Nerve Diseases,,,,cranial nerve diseases
cranial nerve diseases,Trigeminal Neuralgia,,,,cranial nerve diseases
pathologic processes,Trisomy,,,,pathologic processes
bacterial infections,Tuberculosis,Other Antibiotics,Bacterial Infection,Tuberculosis,bacterial infections
bacterial infections,"Tuberculosis, Multidrug-Resistant",Other Antibiotics,Bacterial Infection,Tuberculosis,bacterial infections
"neoplasms, experimental|tumor virus infections",Tumor Virus Infections,,,,"neoplasms, experimental|tumor virus infections"
"cardiovascular abnormalities|congenital abnormalities|genetic diseases, inborn|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders|heart diseases",Turner Syndrome,,,,"cardiovascular abnormalities|congenital abnormalities|genetic diseases, inborn|urogenital abnormalities|female urogenital diseases|gonadal disorders|sexual and gender disorders|heart diseases"
pathologic processes,Ulcer,,,,pathologic processes
female urogenital diseases|urologic diseases,Ureteral Diseases,,,,female urogenital diseases|urologic diseases
female urogenital diseases|neoplasms by site|urologic diseases|urogenital neoplasms,Ureteral Neoplasms,,,,female urogenital diseases|neoplasms by site|urologic diseases|urogenital neoplasms
female urogenital diseases|urologic diseases,Urinary Bladder Diseases,,,,female urogenital diseases|urologic diseases
female urogenital diseases|neoplasms by site|urologic diseases|urogenital neoplasms,Urinary Bladder Neoplasms,,,,female urogenital diseases|neoplasms by site|urologic diseases|urogenital neoplasms
female urogenital diseases|signs and symptoms|urologic diseases,"Urinary Bladder, Overactive",,,,female urogenital diseases|signs and symptoms|urologic diseases
female urogenital diseases|signs and symptoms|urologic diseases,Urinary Incontinence,,,,female urogenital diseases|signs and symptoms|urologic diseases
female urogenital diseases|infection|urologic diseases,Urinary Tract Infections,,,,female urogenital diseases|infection|urologic diseases
female urogenital diseases|urologic diseases,Urination Disorders,,,,female urogenital diseases|urologic diseases
female urogenital diseases|neoplasms by site|urogenital neoplasms,Urogenital Neoplasms,,,,female urogenital diseases|neoplasms by site|urogenital neoplasms
female urogenital diseases|urologic diseases,Urologic Diseases,,,,female urogenital diseases|urologic diseases
female urogenital diseases|neoplasms by site|urogenital neoplasms,Urologic Neoplasms,,,,female urogenital diseases|neoplasms by site|urogenital neoplasms
signs and symptoms,Urological Manifestations,,,,signs and symptoms
hypersensitivity|skin diseases,Urticaria,,,,hypersensitivity|skin diseases
"congenital abnormalities|neurologic manifestations|vision disorders|signs and symptoms|ear diseases|eye diseases, hereditary|genetic diseases, inborn|retinal diseases",Usher Syndromes,,,,"congenital abnormalities|neurologic manifestations|vision disorders|signs and symptoms|ear diseases|eye diseases, hereditary|genetic diseases, inborn|retinal diseases"
female urogenital diseases,Uterine Cervical Diseases,Other Womens Health,Other Women's Health Disorders,Uterine fibroids ,female urogenital diseases
female urogenital diseases|neoplasms by site|urogenital neoplasms,Uterine Cervical Neoplasms,,,,female urogenital diseases|neoplasms by site|urogenital neoplasms
female urogenital diseases,Uterine Diseases,Other Womens Health,Other Women's Health Disorders,Uterine fibroids ,female urogenital diseases
female urogenital diseases|neoplasms by site|urogenital neoplasms,Uterine Neoplasms,,,,female urogenital diseases|neoplasms by site|urogenital neoplasms
uveal diseases,Uveal Diseases,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Uveitis,uveal diseases
uveal diseases,Uveitis,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Uveitis,uveal diseases
uveal diseases,"Uveitis, Anterior",Other Ophthalmology Treatments,Other Ophthalmic Disorders,Uveitis,uveal diseases
uveal diseases,"Uveitis, Intermediate",Other Ophthalmology Treatments,Other Ophthalmic Disorders,Uveitis,uveal diseases
uveal diseases,"Uveitis, Posterior",Other Ophthalmology Treatments,Other Ophthalmic Disorders,Uveitis,uveal diseases
female urogenital diseases,Vaginal Diseases,,,,female urogenital diseases
female urogenital diseases,Vaginitis,,,,female urogenital diseases
bacterial infections|female urogenital diseases,"Vaginosis, Bacterial",,,,bacterial infections|female urogenital diseases
skin diseases|vascular diseases,Varicose Ulcer,,,,skin diseases|vascular diseases
vascular diseases,Varicose Veins,,,,vascular diseases
vascular diseases,Vasculitis,,,,vascular diseases
central nervous system diseases|vascular diseases,"Vasospasm, Intracranial",,,,central nervous system diseases|vascular diseases
vascular diseases,Venous Thrombosis,,,,vascular diseases
lung diseases|thoracic injuries,Ventilator-Induced Lung Injury,,,,lung diseases|thoracic injuries
heart diseases,Ventricular Dysfunction,,,,heart diseases
heart diseases,"Ventricular Dysfunction, Left",,,,heart diseases
cranial nerve diseases|ear diseases,Vestibular Neuronitis,,,,cranial nerve diseases|ear diseases
cranial nerve diseases|ear diseases,Vestibulocochlear Nerve Diseases,,,,cranial nerve diseases|ear diseases
bacterial infections,Vibrio Infections,,,,bacterial infections
neurologic manifestations|signs and symptoms|vision disorders,Vision Disorders,,,,neurologic manifestations|signs and symptoms|vision disorders
skin diseases,Vitiligo,,,,skin diseases
laryngeal diseases|neurologic manifestations|signs and symptoms,Voice Disorders,,,,laryngeal diseases|neurologic manifestations|signs and symptoms
signs and symptoms,Vomiting,,,,signs and symptoms
"hematologic diseases|genetic diseases, inborn",von Willebrand Diseases,Recombinant Blood Products,Blood Clotting Disorders,Von Willebrand Disease,"hematologic diseases|genetic diseases, inborn"
female urogenital diseases,Vulvar Diseases,,,,female urogenital diseases
female urogenital diseases,Vulvitis,,,,female urogenital diseases
female urogenital diseases,Vulvovaginitis,,,,female urogenital diseases
hematologic diseases|vascular diseases|immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,Waldenstrom Macroglobulinemia,,,,hematologic diseases|vascular diseases|immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
"dna virus infections|tumor virus infections|skin diseases|infection|skin diseases, viral",Warts,,,,"dna virus infections|tumor virus infections|skin diseases|infection|skin diseases, viral"
metabolic diseases,Water-Electrolyte Imbalance,,,,metabolic diseases
vascular diseases|autoimmune diseases|lung diseases,Wegener Granulomatosis,,,,vascular diseases|autoimmune diseases|lung diseases
signs and symptoms,Weight Loss,,,,signs and symptoms
"female urogenital diseases|genetic diseases, inborn|urologic diseases|neoplasms by site|urogenital neoplasms|neoplasms by histologic type|neoplastic syndromes, hereditary",Wilms Tumor,,,,"female urogenital diseases|genetic diseases, inborn|urologic diseases|neoplasms by site|urogenital neoplasms|neoplasms by histologic type|neoplastic syndromes, hereditary"
"hematologic diseases|genetic diseases, inborn|immunologic deficiency syndromes",Wiskott-Aldrich Syndrome,,,,"hematologic diseases|genetic diseases, inborn|immunologic deficiency syndromes"
infection|wound infection,Wound Infection,,,,infection|wound infection
mouth diseases,Xerostomia,,,,mouth diseases
